,first_name,home,id,last_name,point,position,result,shoot_off,team_full
222,Isabel,True,LP2.BuLi Nord1C,Kausch,1,2,366, ,"('SP Brackstedt',)"
223,Jens,False,LP2.BuLi Nord1C,Frieling,0,2,363, ,"('SV Haendorf',)"
224,Patrick,True,LP2.BuLi Nord1C,Samse,0,3,352, ,"('SP Brackstedt',)"
225,Stefan,False,LP2.BuLi Nord1C,Pabstmann,1,3,364, ,"('SV Haendorf',)"
226,Katja,True,LP2.BuLi Nord1C,Broich,0,4,358, ,"('SP Brackstedt',)"
227,Timon,False,LP2.BuLi Nord1C,Cordes,1,4,363, ,"('SV Haendorf',)"
228,Katja,True,LP2.BuLi Nord1C,Kutzeck,0,5,355, ,"('SP Brackstedt',)"
229,Marc,False,LP2.BuLi Nord1C,Bonne,1,5,365, ,"('SV Haendorf',)"
230,Frans,True,LP2.BuLi Nord1C,Soerensen,1,1,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
231,Mandy,False,LP2.BuLi Nord1C,Horn,0,1,377, ,"('SV Stoppelmarkt',)"
232,Antje,True,LP2.BuLi Nord1C,Noeske,1,2,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
233,Rita,False,LP2.BuLi Nord1C,Müller,0,2,359, ,"('SV Stoppelmarkt',)"
234,Theo,True,LP2.BuLi Nord1C,Hadrath,1,3,379, ,"('GTV Bremerhaven-Seestadtteufel',)"
235,Alexandra,False,LP2.BuLi Nord1C,Rolfes,0,3,364, ,"('SV Stoppelmarkt',)"
236,Jan Luca,True,LP2.BuLi Nord1C,Karstedt,1,4,375, ,"('GTV Bremerhaven-Seestadtteufel',)"
237,Thomas,False,LP2.BuLi Nord1C,Seeger,0,4,355, ,"('SV Stoppelmarkt',)"
238,Matthias,True,LP2.BuLi Nord1C,Dapprich-Crawford,0,5,369, ,"('GTV Bremerhaven-Seestadtteufel',)"
239,Tobias,False,LP2.BuLi Nord1C,Schierholt,1,5,374, ,"('SV Stoppelmarkt',)"
240,Ian Talmark,True,LP2.BuLi Nord1D,Kannerup,0,1,370, ,"('PC Rendsburg',)"
241,Frederik,False,LP2.BuLi Nord1D,Larsen,1,1,383, ,"('SV Groß und Kleinkaliber',)"
242,Uwe,True,LP2.BuLi Nord1D,Hofmann,0,2,361, ,"('PC Rendsburg',)"
243,Miroslaw,False,LP2.BuLi Nord1D,Roj,1,2,372, ,"('SV Groß und Kleinkaliber',)"
244,Helge,True,LP2.BuLi Nord1D,Hagen,1,3,373, ,"('PC Rendsburg',)"
245,Tobias,False,LP2.BuLi Nord1D,Siemssen,0,3,371, ,"('SV Groß und Kleinkaliber',)"
246,Uwe,True,LP2.BuLi Nord1D,Knapp,0,4,357, ,"('PC Rendsburg',)"
247,Falk,False,LP2.BuLi Nord1D,Priebe,1,4,366, ,"('SV Groß und Kleinkaliber',)"
248,Joris,True,LP2.BuLi Nord1D,Feindt,0,5,364, ,"('PC Rendsburg',)"
249,Dieter,False,LP2.BuLi Nord1D,Miller,1,5,367, ,"('SV Groß und Kleinkaliber',)"
250,Thilo,True,LP2.BuLi Nord1D,Wehr,0,1,360, ,"('SV Kutenholz',)"
251,Waldemar,False,LP2.BuLi Nord1D,Markow,1,1,368, ,"('Wandsbeker SGi',)"
252,Sönke,True,LP2.BuLi Nord1D,Borchers,1,2,365, ,"('SV Kutenholz',)"
